customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15687492,596,jabar,Male,32.0,3.0,150268487.1,2.0,0.0,0.0,64931605.07,0
15736963,623,Jawa Timur,Male,43.0,1.0,0.0,2.0,1.0,1.0,227447083.9,0
15721730,601,Jawa Tengah,Female,44.0,4.0,0.0,2.0,1.0,0.0,90993734.7,0
15762134,506,Jawa Barat,Male,59.0,8.0,185140916.0,2.0,1.0,1.0,265205593.6,0
15648898,560,Jawa Tengah,Female,27.0,,194221253.6,1.0,1.0,1.0,178176213.1,0
15659064,790,jateng,Male,37.0,8.0,0.0,2.0,1.0,1.0,232169313.8,0
15761986,439,Jawa Tengah,Female,32.0,3.0,215828099.7,1.0,1.0,0.0,117602373.9,0
15713354,597,jabar,Female,22.0,6.0,157757184.8,1.0,1.0,0.0,109589370.8,1
15593454,678,Jawa Tengah,Female,40.0,4.0,176815734.9,1.0,1.0,,25822561.66,0
15690134,464,jawabarat,Female,42.0,3.0,133130132.2,1.0,1.0,1.0,254989227.1,0
15767474,481,Jawa Timur,Female,57.0,9.0,0.0,3.0,,1.0,263713320.4,1
15785367,651,Jawa Timur,Female,56.0,4.0,0.0,1.0,0.0,0.0,131116334.9,1
15587507,850,Jawa Timur,Male,47.0,6.0,0.0,1.0,1.0,0.0,291171914.7,1
15569764,687,Jawa Barat,Female,41.0,2.0,239299483.0,1.0,1.0,0.0,246137875.9,0
15665062,696,jawatimur,Male,19.0,1.0,172362937.4,1.0,1.0,1.0,4298845.027,0
15759966,612,Jawa Tengah,Female,36.0,,186146501.7,2.0,1.0,0.0,247704670.3,0
15576352,586,Jawa Tengah,Female,57.0,3.0,0.0,2.0,0.0,1.0,9412746.334,0
15713604,425,jabar,Male,40.0,9.0,259140816.6,2.0,0.0,1.0,268262175.1,0
15596797,643,jateng,Male,43.0,1.0,0.0,2.0,1.0,1.0,226491640.0,0
15744127,641,Jawa Timur,Female,37.0,2.0,0.0,2.0,1.0,0.0,6121848.803,0
15589420,795,jatim,Female,40.0,2.0,158320429.0,1.0,1.0,1.0,284418764.4,0
15727546,762,Jawa Timur,Male,35.0,9.0,0.0,2.0,1.0,1.0,66931884.17,0
15696373,687,Jawa Timur,Female,44.0,9.0,0.0,2.0,0.0,0.0,160109031.2,1
15656319,850,Jawa Tengah,Male,37.0,4.0,136955404.0,1.0,1.0,0.0,170390533.8,0
15670354,753,jawatimur,Female,62.0,6.0,0.0,2.0,,1.0,211939338.8,0
15673020,678,Jawa Timur,Female,49.0,3.0,317773188.8,1.0,0.0,1.0,1148086.522,1
15771139,578,Jawa Barat,Male,34.0,8.0,229168607.7,2.0,1.0,0.0,103609914.0,0
15572174,825,Jawa Timur,Male,29.0,,231323414.2,2.0,0.0,1.0,110620827.6,0
15674868,696,Jawa Tengah,Female,30.0,0.0,0.0,2.0,1.0,1.0,13988730.7,0
15630244,457,jawatimur,Male,40.0,10.0,208709459.8,2.0,1.0,0.0,234249785.6,0
15678910,680,Jawa Timur,Female,30.0,8.0,219775020.0,1.0,1.0,1.0,25294589.17,0
15767793,819,Jawa Timur,Female,38.0,10.0,0.0,2.0,1.0,0.0,47389490.03,0
15695499,510,Jawa Timur,Female,45.0,10.0,161319876.5,2.0,0.0,1.0,121009357.3,0
15786717,567,Jawa Timur,Male,36.0,1.0,0.0,2.0,0.0,0.0,13294064.39,0
15687171,638,Jawa Tengah,Male,34.0,5.0,227913960.2,1.0,1.0,0.0,158769110.1,0
15647385,579,Jawa Tengah,Male,56.0,4.0,154357768.5,1.0,0.0,0.0,7029077.687,1
15588372,715,Jawa Barat,Female,37.0,9.0,163911399.7,1.0,0.0,0.0,,1
15753754,587,Jawa Tengah,Female,34.0,1.0,0.0,2.0,1.0,,152169756.8,0
15669281,711,jawatengah,Male,38.0,3.0,200005814.7,1.0,0.0,0.0,178368358.5,0
15726960,741,Jawa Timur,Female,36.0,3.0,0.0,2.0,1.0,1.0,139540541.0,0
15713845,688,Jawa Timur,Male,38.0,7.0,230036338.5,1.0,1.0,0.0,272664209.3,1
15794171,475,Jawa Timur,Female,45.0,0.0,208622150.6,1.0,1.0,0.0,43231918.32,1
15751912,567,Jawa Timur,Male,36.0,7.0,0.0,2.0,0.0,1.0,6053807.026,0
15729040,440,Jawa Timur,Male,42.0,2.0,0.0,2.0,1.0,0.0,77421691.92,0
15585249,741,Jawa Timur,Male,42.0,6.0,164761665.5,1.0,1.0,0.0,302508212.5,1
15585768,582,Jawa Barat,Male,41.0,6.0,109310429.0,2.0,0.0,1.0,276695004.8,0
15683157,613,Jawa Timur,Male,26.0,4.0,156075889.4,1.0,0.0,1.0,232535083.1,0
15763704,692,Jawa Barat,Female,43.0,2.0,107236094.9,2.0,0.0,0.0,255792070.4,0
15701121,521,Jawa Timur,Male,38.0,5.0,171916478.3,1.0,0.0,1.0,212108378.9,1
15680141,759,Jawa Tengah,Female,35.0,7.0,229866568.1,1.0,1.0,1.0,165925756.4,0
15710978,715,jabar,Male,42.0,2.0,136924125.6,2.0,1.0,1.0,33147983.9,0
15701741,711,jatim,Female,39.0,3.0,236899732.4,1.0,1.0,0.0,140319222.3,0
15728912,554,Jawa Timur,Female,44.0,6.0,143630241.8,1.0,1.0,0.0,195833994.5,0
15623063,651,Jawa Barat,Male,35.0,8.0,171025409.2,1.0,1.0,0.0,198390106.1,1
15800061,495,Jawa Tengah,Female,45.0,3.0,138536944.2,3.0,1.0,0.0,210029476.5,1
15807305,805,Jawa Timur,Male,39.0,2.0,0.0,1.0,0.0,0.0,258944600.2,0
15666141,829,Jawa Tengah,Female,26.0,8.0,157620060.2,2.0,1.0,1.0,30026794.59,0
15668971,583,jatim,Female,40.0,4.0,86666470.31,2.0,1.0,0.0,41829502.54,0
15687130,686,Jawa Timur,Female,43.0,0.0,0.0,1.0,1.0,1.0,264262673.5,0
15658956,505,Jawa Barat,Male,40.0,6.0,74380881.72,2.0,1.0,1.0,240938390.2,0
15639882,528,Jawa Timur,Male,30.0,2.0,199297179.6,2.0,1.0,0.0,78889243.83,0
15750574,677,Jawa Tengah,Female,,4.0,0.0,2.0,1.0,1.0,9595662.025,0
15738588,660,Jawa Barat,Female,37.0,2.0,206968963.8,1.0,0.0,0.0,110995391.4,0
15812878,785,Jawa Barat,Female,36.0,2.0,155081879.7,1.0,0.0,1.0,57454856.31,0
15734634,607,Jawa Tengah,Female,27.0,5.0,156799379.1,1.0,0.0,0.0,11857619.95,0
15771674,603,Jawa Tengah,Female,39.0,,252325637.8,2.0,1.0,0.0,,0
15774491,480,Jawa Timur,Female,28.0,6.0,0.0,2.0,0.0,0.0,74788339.93,0
15705174,656,Jawa Barat,Male,68.0,7.0,238581462.8,1.0,1.0,1.0,289903469.3,0
15729238,631,Jawa Barat,Male,48.0,1.0,165320978.6,1.0,1.0,1.0,234100727.6,1
15585284,604,Jawa Tengah,Female,35.0,7.0,228855186.7,1.0,1.0,,89821750.43,0
15569264,622,Jawa Timur,Male,32.0,5.0,278607834.9,1.0,1.0,1.0,231587206.2,0
15567367,601,jabar,Female,42.0,9.0,207646538.1,1.0,0.0,1.0,160534063.1,0
15706005,674,Jawa Timur,Male,46.0,2.0,271453985.5,1.0,1.0,0.0,140138590.7,1
15644119,531,Jawa Timur,Male,31.0,3.0,0.0,1.0,1.0,1.0,342130709.66580003,0
15669656,632,jatim,Male,32.0,6.0,173389732.7,1.0,1.0,1.0,264744497.5,0
15809654,707,jawatimur,Female,46.0,7.0,198075892.6,2.0,1.0,1.0,1172947196.322,0
15801488,723,Jawa Timur,Male,25.0,3.0,0.0,2.0,1.0,1.0,209003504.7,0
15662908,795,Jawa Barat,Male,38.0,7.0,195630941.3,2.0,1.0,1.0,197442229.3,0
15690175,585,Jawa Tengah,Male,45.0,0.0,0.0,2.0,0.0,0.0,294734326.7,0
15565779,627,jawabarat,Female,30.0,6.0,89825277.6,1.0,1.0,0.0,292519806.9,0
15617476,546,Jawa Timur,Female,30.0,5.0,0.0,2.0,0.0,1.0,308500224.1,0
15606149,571,Jawa Barat,Female,66.0,9.0,173370589.7,1.0,0.0,1.0,294094463.7,0
15801832,684,Jawa Barat,Male,,1.0,182870629.6,1.0,1.0,1.0,35948635.68,1
15805025,636,Jawa Timur,Female,45.0,7.0,217316068.8,1.0,1.0,1.0,168438034.7,0
15713819,562,Jawa Timur,Male,48.0,3.0,143492107.2,1.0,1.0,1.0,253454068.5,0
15775590,482,Jawa Barat,Female,48.0,2.0,107725517.1,1.0,0.0,0.0,159484892.8,1
15574072,786,Jawa Timur,Female,62.0,8.0,0.0,1.0,1.0,1.0,257472076.1,0
15720943,747,Jawa Timur,Female,,1.0,178625779.8,,1.0,0.0,1521195305.696,1
15733111,688,jawatengah,Male,32.0,6.0,192952279.9,1.0,,1.0,215606742.5,0
15809509,699,jawatimur,Male,29.0,3.0,195298532.6,1.0,1.0,1.0,235595953.1,0
15676156,528,Jawa Timur,Female,32.0,4.0,133031324.8,2.0,1.0,0.0,242694921.6,0
15661409,542,Jawa Timur,Female,42.0,,0.0,1.0,1.0,1.0,276978639.1,1
15639133,773,Jawa Timur,Female,50.0,4.0,0.0,2.0,,0.0,201022261.6,0
15798521,675,Jawa Tengah,Male,33.0,3.0,0.0,2.0,1.0,0.0,70462753.67,0
15609637,652,jawatimur,Male,51.0,7.0,0.0,2.0,0.0,1.0,67585514.1,0
15644174,638,Jawa Barat,Male,27.0,4.0,209914944.4,1.0,,1.0,289824286.6,1
15793723,607,jabar,Male,32.0,9.0,224172827.8,2.0,1.0,0.0,274374514.5,0
15802758,594,Jawa Barat,Female,23.0,4.0,162768611.7,2.0,1.0,0.0,88189415.91,1
15609987,755,Jawa Timur,Male,42.0,2.0,186332727.0,1.0,1.0,0.0,243744962.1,0
15607986,555,Jawa Timur,Male,40.0,10.0,217426312.3,1.0,1.0,1.0,164269990.2,0
